Training,Target,Testing
"This is Major Tom to Ground Control
I'm stepping through the door
And I'm floating in a most peculiar way
And the stars look very different today
For here
Am I sitting in a tin can
Far above the world
Planet Earth is blue
And there's nothing I can do
Though I'm past one hundred thousand miles
I'm feeling very still
And I think my spaceship knows which way to go
Tell my wife I love her very much she knows
Ground Control to Major Tom
Your circuit's dead, there's something wrong
Can you hear me, Major Tom?
Can you hear me, Major Tom?
Can you hear me, Major Tom?
Can you Here am I floating 'round my tin can",1,Drugs
Far above the moon,1,Drugs
Planet Earth is blue,1,Drugs
"And there's nothing I can do""",1,Drugs
"If you want to hang out, you've gotta take her out, cocaine",1,Drugs
"If you want to get down, get down on the ground, cocaine",1,Drugs
"She don't lie, she don't lie, she don't lie,",1,Drugs
Cocaine,1,Drugs
"If you got that lose, you want to kick them blues, cocaine",1,Drugs
"When your day is done, and you want to ride on cocaine",1,Drugs
"She don't lie, she don't lie, she don't lie,",1,Drugs
Cocaine,1,Drugs
"If your day is gone, and you want to ride on, cocaine",1,Drugs
"Don't forget this fact, you can't get it back, cocaine",1,Drugs
"She don't lie, she don't lie, she don't lie,",1,Drugs
Cocaine,1,Drugs
"She don't lie, she don't lie, she don't lie,",1,Drugs
Cocaine,1,Drugs
You are in pain,1,Drugs
"Take your life, take your life with cocaine",1,Drugs
But I am who I am,1,Drugs
"So I do what I can, when I can",1,Drugs
But I can't really do a damn thing,1,Drugs
So fine this day,1,Drugs
All your problems has gone away,1,Drugs
"But tomorrow, when you wake up",1,Drugs
All your problems are back to stay,1,Drugs
"Your life, a game",1,Drugs
"Turn it up, turn it up with cocaine",1,Drugs
And everytime that you live is a time when you feel,1,Drugs
And the only time you heal,1,Drugs
Tell me what it is,1,Drugs
And it would never be like this,1,Drugs
A problem that we have in common,1,Drugs
Baby tell me what it is,1,Drugs
It probably doesn't mean a piss,1,Drugs
Yeah rip my heart apart,1,Drugs
"Now it's too late, too late to live",1,Drugs
Only heaven loves you now,1,Drugs
So love it back for once,1,Drugs
Just once,1,Drugs
"Now it's too late, too late to live",1,Drugs
And my conscience killing me,1,Drugs
So am I alive,1,Drugs
But I'm not free,1,Drugs
And for all of you that can relate to this too,1,Drugs
And for all of you that can relate to this too,1,Drugs
White snow,1,Drugs
I know,1,Drugs
You're on a place where I just can't go,1,Drugs
But I hope you do remember,1,Drugs
Your snow doesn't warm you in december,1,Drugs
You are in pain,1,Drugs
"Take your life, take your life with cocaine",1,Drugs
But I am who I am,1,Drugs
"So I do what I can, when I can",1,Drugs
But I can't really do a damn thing,1,Drugs
"Now it's too late, too late to live",1,Drugs
Only heaven loves you now,1,Drugs
So love it back for once,1,Drugs
Just once,1,Drugs
"Now it's too late, too late to live",1,Drugs
And my conscience killing me,1,Drugs
So am I alive,1,Drugs
But I'm not free,1,Drugs
And for all of you that can relate to this too,1,Drugs
And for all of you that can relate to this too,1,Drugs
Tell me what it is,1,Drugs
And it would never be like this,1,Drugs
A problem that we have in common,1,Drugs
Baby tell me what it is,1,Drugs
It probably doesn't mean a piss,1,Drugs
Yeah rip my heart apart,1,Drugs
You are in pain,1,Drugs
"Take your life, take your life with cocaine",1,Drugs
But I am who I am,1,Drugs
"So I do what I can, when I can",1,Drugs
But I can't really do a damn thing,1,Drugs
"Now it's too late, too late to live",1,Drugs
Only heaven loves you now,1,Drugs
So love it back for once,1,Drugs
Just once,1,Drugs
"Now it's too late, too late to live",1,Drugs
And my conscience killing me,1,Drugs
So am I alive,1,Drugs
But I'm not free,1,Drugs
And for all of you that can relate to this too,1,Drugs
Now it's too late,1,Drugs
It seemed the lower I go,1,Drugs
The better I begin to feel.,1,Drugs
"I don’t want this life,",1,Drugs
If nothing I feel is real.,1,Drugs
Don’t act so concerned.,1,Drugs
I tried my fucking best.,1,Drugs
But letting go was never an option.,1,Drugs
I’ve got this hole stuck in my chest.,1,Drugs
Let go.,1,Drugs
That’s what you said.,1,Drugs
But letting go was never an option.,1,Drugs
I tried my fucking best.,1,Drugs
Let go.,1,Drugs
That’s what you said.,1,Drugs
But letting go was never an option.,1,Drugs
I tried my fucking best.,1,Drugs
You said it was never goodbye.,1,Drugs
Liar!,1,Drugs
"It seems the lower that I go,",1,Drugs
The better I begin to feel.,1,Drugs
"I don’t want this life,",1,Drugs
If nothing I feel is real.,1,Drugs
Don’t act so concerned.,1,Drugs
I tried my fucking best.,1,Drugs
But letting go was never an option.,1,Drugs
I’ve got this hole stuck in my chest.,1,Drugs
I don’t expect you to understand.,1,Drugs
"What I lost in you,",1,Drugs
I’m never getting back.,1,Drugs
And you don’t care. [x2],1,Drugs
Let go.,1,Drugs
That’s what you said.,1,Drugs
But letting go was never an option.,1,Drugs
I tried my fucking best.,1,Drugs
Let go.,1,Drugs
That’s what you said.,1,Drugs
But letting go was never an option.,1,Drugs
I tried my fucking best.,1,Drugs
Oh well is it heavy stuff man? Will it blow me away?,1,Drugs
Daw-gone man I'll tell you that much.,1,Drugs
I've been smoking since I was born man I can smoke anything,1,Drugs
[Verse 1: G-Eazy],1,Drugs
"Yeah, I woke up around 12",1,Drugs
Looked to my right found a bag on the shelf,1,Drugs
I twist one up burn a zag to myself,1,Drugs
And i don't give a fuck if it's bad for my health,1,Drugs
I'm mad stressed out,1,Drugs
Cause last week see my girl just left out,1,Drugs
I went to roll another j and I'm fresh out,1,Drugs
And see I'm bummed i ain't even get none last night when i went out,1,Drugs
"Damn, and now the room's all hazy",1,Drugs
Eyes start to look Asian when I'm blazey,1,Drugs
Think I'm about to lay around today and be lazy,1,Drugs
Maybe might call a squeeze over to amaze me,1,Drugs
"Yeah, as you can see i've got some issues",1,Drugs
I've got my medical card it's gettin' misuse,1,Drugs
So I'm stop it if it's bammer? I'm off it,1,Drugs
I'm cheech with a fatty full of maui wowie dog shit,1,Drugs
"[You mean we're smokin' dog shit, man?]",1,Drugs
"G-Eazy, Mod Sun!",1,Drugs
Now I ain't gonna do that regular stoner rap type shit where I like,1,Drugs
Take a hit to the mic right before my verse but..,1,Drugs
"I'm hippie hop, 70's mentality type shit",1,Drugs
"Came from a family, hipp-ays",1,Drugs
My parents both smoked J's in '70s,1,Drugs
See even when my mom was pregnant she still blazed,1,Drugs
So i've been high before I even lived one day(zed),1,Drugs
But I ain't confused,1,Drugs
"Could chop it any way, whatever paraphernalia you choose",1,Drugs
Ain't nothin' bar on top night for solar puffin vapor,1,Drugs
Space cake whatever [it takes to get us copper?],1,Drugs
And we do that!,1,Drugs
Yeah we blazed it and strained a lot of eyes? for tastin?,1,Drugs
Sour d without the Brooklyn based me,1,Drugs
[?] straight from the guy that raised it,1,Drugs
Don't say shit,1,Drugs
Faded but not so vibrant,1,Drugs
Never been to high to keep climbin',1,Drugs
Got a fresh crop but a harvest moon,1,Drugs
Wake and bake with me I guarantee every day just like a sunny afternoon,1,Drugs
"G, hit me up",1,Drugs
Said he was on some 1967 type shit,1,Drugs
See that's where I am,1,Drugs
Mod Sun,1,Drugs
Hippie hop,1,Drugs
M.O.D. and some air,1,Drugs
"Yeah, g-shit",1,Drugs
And I ain't smokin' none of that unless the weed stick,1,Drugs
Bitch I'm in the zone and if I ever leave,1,Drugs
Fuck a jacket I'ma rock my tattoo sleeves,1,Drugs
I got thirty naked bitches in the kitchen,1,Drugs
Crumblin' the herb and rollin' it up in the Swishers,1,Drugs
"Kush is my cologne, every minute blowin' heavy",1,Drugs
"I don't smoke it on occasion, everyday is 4/20",1,Drugs
"All I do is flame shit, I don't do that change shit",1,Drugs
"EST for life bitch, ya I do that gang shit",1,Drugs
"Look at who I came with, better fix ya face quick",1,Drugs
Cause I gotta lot of muh-fuckers with me we all on the same shit,1,Drugs
"Now pass me the dutching-ton,",1,Drugs
I still gotta nickle crumbled in the George Washington,1,Drugs
Order up a quarter my connect is on the phone,1,Drugs
Mix the purple with the lemon G kush and get stoned,1,Drugs
"God damn it im gone, blowin' with the wind",1,Drugs
"Cleveland is the city, see it showin' on the brim",1,Drugs
Black lights on the tats glowin' on my skin,1,Drugs
And my blunt is never lonely all my L's got twins blaze up!,1,Drugs
"Yeah, blaze up, lil' bitch blaze up",1,Drugs
"So what the fuck blaze up, ugh, blaze up, kels Blaze up",1,Drugs
And we burnin' up like the heat is on,1,Drugs
"Kelly smellin' good, blowin' wood",1,Drugs
Bitch my life is like a weed-a-thon,1,Drugs
Size 12 Chuck Taylors what my feet is on,1,Drugs
Laced up blazin' back to back like repeat a song,1,Drugs
"And fuck the police boy, I say it proud",1,Drugs
And if they hear me fuck the police say it loud,1,Drugs
20 dollars and a dream bitch I'm livin',1,Drugs
"Back strokin' in yo girl, no swimmin'",1,Drugs
(Sorry) boy that's pimpin',1,Drugs
"You wanna know my goal, a couple sold out shows",1,Drugs
Some hoes and a pocket full of woah,1,Drugs
"Got it for the low, tear the place up",1,Drugs
"Pass the dutch and blaze up, motherfucker lace up",1,Drugs
"Ughhh. blaze up,",1,Drugs
Hundred words and runnin,1,Drugs
Lace up. lace up bitch. EST blaze up,1,Drugs
Kels laced up. Gone,1,Drugs
"Alright, Alright, Alright, Alright, Alright",1,Drugs
"Alright, Alright, Alright, Alright, Alright",1,Drugs
I am walking along a very cold road and,1,Drugs
Wherever it ends and where it begins,1,Drugs
I do not know (oh no),1,Drugs
But I've noticed that (Uh-Huh),1,Drugs
It keeps rollin' and (Uh-Huh),1,Drugs
"It'll take you anywhere, don't matter where your going yeah",1,Drugs
So I just want to let you know that,1,Drugs
I'm about to let it blow,1,Drugs
Ain't on that middle grade no,1,Drugs
It's that professional,1,Drugs
It ain't gone be no pain,1,Drugs
"I'm about to let it go (let it go, let it go, let it go, let it go)",1,Drugs
"Goodbye (goodbye), I'll be gone for a while, I'm on Cloud 9",1,Drugs
(I said goodbye),1,Drugs
"I'll be gone for a while, I'll see you next time",1,Drugs
"I'll be gone for a while, I on Cloud 9",1,Drugs
(I said goodbye),1,Drugs
"I'll be gone for a while, I'll see you next time",1,Drugs
Now I really ain't the type tuh (Uh-Huh),1,Drugs
Be braggin about my wife but (Uh-Huh),1,Drugs
Mary Jane is outta sight and (Uh-Huh),1,Drugs
She can do it all night and (Fa show),1,Drugs
Best believe she down to blow where (Was-sup),1,Drugs
Ever ya tryin' to go and (Was-sup),1,Drugs
Oh no you don't need no lotion (Was-sup),1,Drugs
Just a blunt and a nigga to roll it (Fa Show),1,Drugs
So I just want to let you know that,1,Drugs
I'm about to let it blow,1,Drugs
Ain't on that middle grade no,1,Drugs
It's that professional,1,Drugs
It ain't gone be no pain,1,Drugs
"I'm about to let it go (let it go, let it go, let it go, let it go)",1,Drugs
"Goodbye (goodbye), I'll be gone for a while, I'm on Cloud 9",1,Drugs
(I said goodbye),1,Drugs
"I'll be gone for a while, I'll see you next time",1,Drugs
"I'll be gone for a while, I on Cloud 9",1,Drugs
(I said goodbye),1,Drugs
"I'll be gone for a while, I'll see you next time",1,Drugs
"Bye(bye), Bye(bye), I said Good-Bye (I say goodbye)",1,Drugs
"Bye(bye), Bye(bye), Goodbye (Goodbye)",1,Drugs
"Bye(bye), Bye(bye), I said Goodbye",1,Drugs
"So what's up man?
Cooling man",1,Drugs
Chilling chilling?,1,Drugs
"Yo you know I had to call, you know why right?",1,Drugs
Why?,1,Drugs
"Because, yo, I never ever call and ask, you to play something right?",1,Drugs
Yeah,1,Drugs
You know what I wanna hear right?,1,Drugs
"What you wanna hear?
I wanna hear that Wu-Tang joint",1,Drugs
Wu-Tang again?,1,Drugs
"Ah yeah, again and again!",1,Drugs
"Wu-Tang Clan coming at you, protect your neck kid, so set it off the Inspector Deck",1,Drugs
[Meth] watch your step kid [8X],1,Drugs
I smoke on the mic like smoking Joe Frazier,1,Drugs
"The hell raiser, raising hell with the flavor",1,Drugs
Terrorize the jam like troops in Pakistan,1,Drugs
Swinging through your town like your neighborhood Spiderman,1,Drugs
"So uhh, tic toc and keep ticking",1,Drugs
While I get you flipping off the shit I'm kicking,1,Drugs
"The Lone Ranger, code red, danger!",1,Drugs
Deep in the dark with the art to rip charts apart,1,Drugs
"The vandal, too hot to handle",1,Drugs
"you battle, you're saying Goodbye like Tevin Campbell",1,Drugs
"Roughneck, Inspector Deck's on the set",1,Drugs
"The rebel, I make more noise than heavy metal",1,Drugs
"The way I make the crowd go wild, sit back relax won't smile",1,Drugs
"Rae got it going on pal, call me the rap assassinator",1,Drugs
Rhymes rugged and built like Schwarzenegger,1,Drugs
"And I'm gonna get mad deep like a threat, blow up your project",1,Drugs
Then take all your assets,1,Drugs
Cause I came to shake the frame in half,1,Drugs
"With the thoughts that bomb, shit like math!",1,Drugs
So if you wanna try to flip go flip on the next man,1,Drugs
Cause I grab the clip and,1,Drugs
Hit you with sixteen shots and more I got,1,Drugs
Going to war with the melting pot hot,1,Drugs
It's the Method Man for short Mr. Meth,1,Drugs
"Moving on your left, ah!",1,Drugs
"And set it off, get it off, let it off like a gat",1,Drugs
"I wanna break full, cock me back",1,Drugs
"Small change, they putting shame in the game",1,Drugs
I take aim and blow that nigga out the frame,1,Drugs
"And like Fame, my style'll live forever",1,Drugs
"Niggaz crossing over, but they don't know no better",1,Drugs
"But I do, true, can I get a ""sue""",1,Drugs
Nuff respect due to the one-six-oh,1,Drugs
"I mean oh, you check out the flow",1,Drugs
like the Hudson or PCP when I'm dusting,1,Drugs
Niggaz off because I'm hot like sauce,1,Drugs
The smoke from the lyrical blunt makes me [cough],1,Drugs
"Oh, what, grab my nut get screwed",1,Drugs
"Ow, here comes my Shaolin style",1,Drugs
"Sloop, B. A. Buh-B. Y. U",1,Drugs
"to my crew with the ""sue""",1,Drugs
watch your step kid,1,Drugs
